,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
22171,21,9,Marketing,Consultant,Telecom,D,Product Manager,Grad,Sociology,Sociology,Did not do PHD,2462736,0,C,3,0,0,2832146
22172,24,17,IT-Software,Bio statistician,Analytics,F,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2504874,0,D,4,4,0,2880605
22173,17,17,Marketing,Consultant,Analytics,N,Consultant,Doctorate,Engineering,Engineering,Engineering,2898300,0,C,2,0,0,3599688
22174,19,15,HR,Others,Insurance,P,Network Engineer,PG,Economics,Economics,Did not do PHD,2534906,0,A,4,1,0,3295377
22175,20,15,Healthcare,Project Manager,Telecom,L,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1838646,0,C,2,0,0,2114442
22176,24,16,Healthcare,Project Manager,IT,E,Marketing Manager,Grad,Botony,Did not do PG,Did not do PHD,2430164,0,D,6,0,0,2794688
22177,14,13,Others,Project Manager,Analytics,P,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1295317,0,C,6,1,0,1489614
22178,8,0,Education,Sales Execituve,Aviation,O,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1014422,0,D,2,2,0,1166585
22179,25,10,HR,Financial Analyst,Analytics,M,Others,Doctorate,Economics,Economics,Economics,3316757,1,B,6,0,0,4643459
22180,1,0,HR,Associate,Automobile,M,Data Analyst,Doctorate,Economics,Economics,Economics,647348,0,B,1,0,0,854499
22181,21,1,Healthcare,Researcher,Training,L,Others,Grad,Arts,Others,Did not do PHD,2582628,0,D,5,0,0,2970022
22184,9,4,HR,Team Lead,Insurance,H,Product Manager,Doctorate,Others,Statistics,Botony,1861814,1,B,4,0,0,2606539
22186,2,2,Marketing,Team Lead,Insurance,J,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,469217,0,C,3,2,0,539599
22187,19,8,Top Management,Scientist,IT,J,Software Developer,Grad,Economics,Economics,Did not do PHD,2276352,1,B,4,3,0,2913730
22188,4,3,Healthcare,Others,IT,M,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,672760,0,Key_Performer,5,3,0,874588
22189,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Doctorate,Chemistry,Chemistry,Chemistry,0,0,Fresher,0,0,0,769472
22190,1,0,Education,Team Lead,Retail,J,Product Manager,Grad,Arts,Did not do PG,Did not do PHD,440245,0,C,2,0,0,506281
22191,24,24,Others,Sales Execituve,FMCG,K,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1845222,0,A,5,2,0,2306527
22192,12,7,Analytics/BI,Data scientist,Retail,G,Director,Doctorate,Others,Chemistry,Mathematics,1754720,1,A,6,0,0,2456608
22194,13,7,Sales,Business Analyst,Aviation,I,Assistant Manager,PG,Mathematics,Mathematics,Did not do PHD,2061650,0,C,3,0,0,2465733
22195,5,1,Marketing,Consultant,Aviation,H,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,543563,0,B,6,3,0,679453
22196,20,2,Engineering,Scientist,FMCG,O,Research Analyst,Grad,Others,Zoology,Did not do PHD,2509429,0,C,6,4,0,2885843
22197,19,18,Healthcare,Sales Manager,IT,O,Consultant,Doctorate,Engineering,Engineering,Engineering,2444558,1,Key_Performer,4,0,0,3422381
22198,14,10,Others,Business Analyst,Insurance,B,Marketing Manager,Grad,Chemistry,Chemistry,Did not do PHD,1830997,1,B,3,0,0,2343676
22199,9,7,Others,Sales Manager,Aviation,I,Marketing Manager,Doctorate,Botony,Botony,Botony,2109125,0,A,1,0,0,2847318
22200,10,4,Banking,Sales Manager,BFSI,F,Others,PG,Zoology,Others,Did not do PHD,2225617,0,D,6,1,0,2661837
22201,15,15,Top Management,Head,Automobile,L,Marketing Manager,PG,Economics,Economics,Did not do PHD,1881809,1,Key_Performer,5,1,0,2483987
22202,11,1,Top Management,Sr. Business Analyst,Others,F,Product Manager,Grad,Statistics,Statistics,Did not do PHD,1830914,0,D,6,0,0,2105551
22203,16,15,Analytics/BI,Financial Analyst,Training,D,Marketing Manager,Doctorate,Mathematics,Mathematics,Mathematics,3773530,0,A,4,0,0,5094265
22204,6,6,Banking,Team Lead,Others,C,Software Developer,PG,Chemistry,Chemistry,Did not do PHD,1137617,1,C,1,0,0,1381522
22206,5,0,HR,Bio statistician,BFSI,L,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,418454,0,Key_Performer,1,3,0,543990
22207,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Chemistry,Chemistry,Did not do PHD,0,0,Fresher,0,0,0,532597
22208,11,1,Banking,Project Manager,Others,C,Manager,PG,Arts,Arts,Did not do PHD,2002678,0,A,6,1,0,2603481
22209,16,8,Healthcare,Researcher,IT,N,Assistant Manager,PG,Arts,Arts,Did not do PHD,2404626,0,B,3,0,0,3126013
22210,10,10,Banking,Sales Manager,FMCG,O,Web Designer,PG,Statistics,Statistics,Did not do PHD,2193110,0,D,2,0,0,2622959
22211,2,1,Banking,Team Lead,Aviation,M,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,450490,0,B,1,2,0,563112
22212,12,3,Education,Sales Execituve,Training,B,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1490342,0,Key_Performer,4,0,0,1862927
22213,18,5,Accounts,Project Manager,FMCG,D,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1480433,0,C,2,3,0,1702497
22214,10,9,Education,Business Analyst,Insurance,D,HR,Grad,Psychology,Psychology,Did not do PHD,1957104,0,C,4,0,0,2250669
22215,9,2,Education,Others,BFSI,A,Medical Officer,Grad,Botony,Botony,Did not do PHD,1233219,1,Key_Performer,2,0,0,1578520
22216,25,7,Others,Team Lead,BFSI,A,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2533166,0,C,3,0,0,2913140
22217,24,0,Analytics/BI,Analyst,Training,C,Director,PG,Engineering,Engineering,Did not do PHD,3450974,1,Key_Performer,3,4,0,4555285
22218,12,3,Healthcare,Project Manager,Others,M,Marketing Manager,PG,Chemistry,Chemistry,Did not do PHD,2173267,1,D,4,0,0,2639215
22219,7,6,Sales,Others,Analytics,I,Consultant,Doctorate,Chemistry,Chemistry,Chemistry,1637613,1,C,3,0,0,2109245
22221,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,1,0,381538
22222,25,5,Sales,Financial Analyst,Insurance,A,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2076385,1,D,6,0,0,2483356
22223,6,5,Engineering,Scientist,BFSI,K,Product Manager,Grad,Others,Zoology,Did not do PHD,1170964,1,B,4,0,1,1498833
22224,14,0,Education,Senior Researcher,IT,H,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1382918,0,C,6,2,0,1590355
22225,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Engineering,Engineering,Did not do PHD,0,0,Fresher,0,1,0,616305
22227,20,18,Engineering,Bio statistician,Insurance,P,Research Scientist,Grad,Arts,Arts,Did not do PHD,2408742,0,A,2,0,0,3010927
22228,22,5,Top Management,Bio statistician,Aviation,C,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1457049,1,Key_Performer,3,0,0,1894163
22229,9,0,Marketing,Analyst,FMCG,C,Data Analyst,Doctorate,Statistics,Statistics,Statistics,1972484,1,D,5,0,0,2540559
22230,18,14,IT-Software,Consultant,Telecom,D,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1587575,0,B,2,3,0,1984468
22231,18,18,HR,Analyst,Training,F,Web Designer,PG,Mathematics,Mathematics,Did not do PHD,2373225,0,C,3,0,0,2838377
22232,25,12,Education,Others,Others,G,Web Designer,Grad,Mathematics,Mathematics,Did not do PHD,2148633,1,B,6,2,0,2750250
22233,2,1,IT-Software,Associate,Telecom,G,HR,Grad,Mathematics,Mathematics,Did not do PHD,494707,1,C,3,0,0,568913
22235,4,4,Healthcare,Analyst,Aviation,F,Medical Officer,Doctorate,Zoology,Zoology,Zoology,1082857,0,C,2,0,0,1344908
22236,15,3,Education,CEO,Training,F,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2496113,0,C,3,1,0,2870529
22237,2,1,Education,Sales Execituve,FMCG,B,Others,PG,Botony,Botony,Did not do PHD,757858,0,C,2,1,0,906398
22238,19,16,Engineering,Financial Analyst,Others,J,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1401777,0,B,3,1,0,1752221
22239,13,7,Others,Project Manager,Automobile,E,CA,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1200785,0,B,6,0,0,1500981
22240,6,4,Education,Associate,IT,O,Scientist,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1109930,0,A,5,1,0,1442909
22241,8,5,Sales,Others,Training,D,Sr.Manager,Grad,Statistics,Statistics,Did not do PHD,1250256,0,B,5,0,0,1562820
22242,22,13,Sales,Sales Manager,Training,E,Director,Grad,Economics,Others,Did not do PHD,2494981,0,D,5,0,0,2869228
22243,6,1,Analytics/BI,Team Lead,Insurance,D,Software Developer,Doctorate,Engineering,Engineering,Engineering,1980365,1,Key_Performer,4,0,0,2883411
22244,22,1,Banking,Sales Manager,Retail,K,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1925860,0,C,3,1,0,2214739
22245,21,18,Education,Analyst,Telecom,M,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1543381,0,C,2,0,0,1774888
22247,18,14,Analytics/BI,CEO,Analytics,J,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2328443,0,D,6,0,0,2677709
22248,1,1,Analytics/BI,Team Lead,Telecom,K,Marketing Manager,Grad,Mathematics,Mathematics,Did not do PHD,696753,1,B,1,0,0,870941
22249,3,3,Accounts,Others,FMCG,E,Product Manager,Grad,Chemistry,Chemistry,Did not do PHD,676671,1,B,1,0,0,866138
22250,18,5,Engineering,Scientist,Analytics,D,Web Designer,Grad,Mathematics,Mathematics,Did not do PHD,2487095,1,B,4,4,0,3183481
22251,2,0,IT-Software,Team Lead,Others,K,Director,PG,Mathematics,Mathematics,Did not do PHD,451447,1,B,2,1,0,609453
22252,2,1,Sales,Business Analyst,Automobile,O,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,442543,0,B,3,0,0,553178
22253,24,24,Education,CEO,Others,I,CA,PG,Economics,Economics,Did not do PHD,1740861,0,C,4,2,0,2082069
22254,19,17,Analytics/BI,Consultant,Analytics,J,CA,Grad,Economics,Economics,Did not do PHD,2579257,1,Key_Performer,6,0,0,3301448
22255,6,5,HR,Consultant,Analytics,M,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,703177,1,D,6,4,0,840999
22256,23,22,HR,Consultant,BFSI,P,Manager,PG,Others,Arts,Did not do PHD,2791953,0,A,6,1,0,3629538
22257,6,1,Accounts,Associate,Others,C,CA,Doctorate,Others,Zoology,Psychology,1577957,0,B,3,0,0,2130241
22258,18,8,HR,Business Analyst,Others,A,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2425595,0,D,5,4,0,2789434
22259,17,15,Healthcare,Head,Training,O,Data Analyst,Doctorate,Statistics,Statistics,Statistics,2573883,1,Key_Performer,3,0,0,3603436
22260,17,12,Banking,Project Manager,Retail,K,Data Analyst,PG,Arts,Arts,Did not do PHD,3414466,0,C,3,1,0,4083701
22261,2,1,Sales,Associate,Aviation,F,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,444411,0,B,3,0,0,555513
22262,12,9,Sales,Consultant,Retail,K,Marketing Manager,PG,Chemistry,Chemistry,Did not do PHD,2305892,0,B,5,0,0,2997659
22263,2,2,Banking,Project Manager,Automobile,L,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,459750,1,B,2,0,0,597675
22264,2,2,Marketing,Associate,Insurance,F,Assistant Manager,Grad,Psychology,Psychology,Did not do PHD,448587,1,B,1,1,0,574191
22265,4,0,Analytics/BI,Data scientist,Telecom,M,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,550149,1,Key_Performer,2,0,1,743801
22266,13,10,Engineering,Financial Analyst,IT,F,Network Engineer,Doctorate,Economics,Economics,Economics,2395225,1,Key_Performer,5,0,0,3353315
22267,3,0,Analytics/BI,Consultant,Telecom,M,Assistant Manager,PG,Engineering,Engineering,Did not do PHD,622039,1,D,2,1,0,755404
22268,23,20,Banking,Others,Telecom,B,Software Developer,Doctorate,Engineering,Others,Chemistry,3078740,1,Key_Performer,4,0,0,4310236
22270,7,3,Others,Analyst,Automobile,D,Software Developer,PG,Others,Mathematics,Did not do PHD,1298595,1,B,4,1,0,1714145
22271,20,6,Marketing,Head,BFSI,F,Marketing Manager,PG,Sociology,Sociology,Did not do PHD,3404882,1,Key_Performer,3,1,0,4494444
22272,13,7,Engineering,Business Analyst,FMCG,A,Data Analyst,PG,Others,Sociology,Did not do PHD,2277978,1,A,5,1,0,3006930
22273,3,1,Engineering,Sales Execituve,Analytics,C,Product Manager,Doctorate,Chemistry,Chemistry,Chemistry,1200652,0,C,3,0,0,1491209
22274,21,21,Top Management,Senior Researcher,Insurance,J,Assistant Manager,PG,Psychology,Others,Did not do PHD,2608503,0,C,2,1,0,3119769
22275,16,6,Others,Business Analyst,BFSI,D,Research Scientist,Grad,Psychology,Psychology,Did not do PHD,2746895,0,C,4,0,0,3158929
22277,3,3,Analytics/BI,Scientist,FMCG,C,Product Manager,Grad,Sociology,Sociology,Did not do PHD,645471,0,B,1,0,1,806838
22279,1,0,Education,Sales Execituve,Aviation,D,HR,Doctorate,Economics,Economics,Economics,467401,0,D,2,0,0,567611
22280,24,6,Sales,Others,FMCG,P,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1608531,0,A,3,2,0,2010663
22281,14,12,Sales,Others,Telecom,A,Sr.Manager,Grad,Chemistry,Chemistry,Did not do PHD,1823869,0,C,3,0,0,2097449
22282,5,0,Others,Sales Execituve,Insurance,O,HR,Doctorate,Others,Mathematics,Arts,1208710,1,D,6,0,0,1556818
22283,21,13,Others,Scientist,Insurance,P,HR,Grad,Mathematics,Mathematics,Did not do PHD,2561560,1,D,5,0,0,3016493
22284,12,6,Analytics/BI,Consultant,IT,G,Assistant Manager,Grad,Arts,Arts,Did not do PHD,1886456,0,A,4,0,0,2358070
22285,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,3,0,369027
22286,15,0,IT-Software,CEO,Retail,P,CA,PG,Mathematics,Mathematics,Did not do PHD,2467790,1,Key_Performer,2,0,0,3257482
22287,12,1,Healthcare,Project Manager,Insurance,A,Web Designer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1674669,1,B,3,3,0,2177069
22288,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Others,Economics,Did not do PHD,0,0,Fresher,0,2,0,609263
22289,4,3,Banking,Others,Others,B,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,646009,0,A,3,2,0,839811
22290,3,3,Others,Analyst,Telecom,K,Product Manager,Grad,Botony,Others,Did not do PHD,540501,0,B,1,0,0,675626
22291,10,0,Top Management,Consultant,Retail,A,Research Scientist,PG,Psychology,Psychology,Did not do PHD,1657691,0,B,3,1,0,2154998
22292,25,4,IT-Software,Others,IT,A,Manager,Grad,Statistics,Statistics,Did not do PHD,2521555,1,Key_Performer,5,0,0,3227590
22293,11,8,Sales,Sales Execituve,IT,D,Data Analyst,PG,Arts,Arts,Did not do PHD,2348566,0,A,4,1,0,3053135
22294,18,15,Others,Sales Manager,FMCG,O,Network Engineer,Grad,Mathematics,Mathematics,Did not do PHD,2581766,1,Key_Performer,2,2,0,3304660
22295,19,9,Education,Head,Retail,J,Marketing Manager,PG,Sociology,Sociology,Did not do PHD,2411215,0,D,3,1,1,2883813
22296,22,13,Healthcare,CEO,Telecom,L,HR,PG,Mathematics,Mathematics,Did not do PHD,3309433,1,Key_Performer,5,0,1,4368451
22297,17,12,Marketing,Project Manager,Insurance,B,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1616277,0,A,4,0,0,2020346
22298,20,5,Education,Project Manager,Telecom,L,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2710880,1,B,3,2,0,3524144
22299,8,6,Marketing,Senior Researcher,Training,J,Others,Doctorate,Psychology,Psychology,Others,1659445,0,B,3,0,0,2240250
22300,11,4,Engineering,Business Analyst,Telecom,O,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1449663,0,C,4,3,0,1667112
22301,9,5,HR,Analyst,Telecom,N,HR,Grad,Botony,Did not do PG,Did not do PHD,1038125,0,Key_Performer,3,0,0,1297656
22302,19,3,Others,CEO,Automobile,M,Software Developer,Grad,Mathematics,Mathematics,Did not do PHD,2543222,1,B,4,4,1,3255324
22303,1,0,Banking,Project Manager,FMCG,C,Others,Doctorate,Mathematics,Others,Engineering,469437,0,B,3,0,0,619656
22305,22,3,Healthcare,Head,BFSI,K,Consultant,Grad,Sociology,Others,Did not do PHD,2570648,0,C,6,0,0,2956245
22306,11,11,Banking,Others,Others,O,Consultant,Doctorate,Statistics,Statistics,Others,1853586,0,C,4,0,0,2302153
22307,3,0,Engineering,Consultant,Insurance,N,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,665159,0,B,2,3,0,831448
22308,12,6,Education,Senior Researcher,Retail,K,Consultant,Grad,Zoology,Zoology,Did not do PHD,1964411,0,D,4,0,0,2259072
22310,24,15,Others,CEO,Analytics,L,Sr.Manager,PG,Engineering,Engineering,Did not do PHD,3628430,1,Key_Performer,3,2,1,4789527
22311,5,2,Marketing,Financial Analyst,Others,G,HR,Doctorate,Zoology,Others,Psychology,992206,1,Key_Performer,6,0,0,1444651
22312,22,21,HR,Sales Manager,Retail,H,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2326714,1,Key_Performer,5,3,0,3024728
22313,9,7,IT-Software,Analyst,Telecom,K,Manager,Grad,Economics,Economics,Did not do PHD,1182190,0,B,2,0,0,1477737
22314,8,2,Accounts,Scientist,BFSI,M,Web Designer,PG,Statistics,Statistics,Did not do PHD,1071991,0,D,6,1,0,1282101
22315,24,0,Banking,Analyst,Insurance,D,Data Analyst,Grad,Psychology,Psychology,Did not do PHD,2451862,0,B,2,2,0,3064827
22316,1,0,Banking,Sales Execituve,Retail,E,Sr.Manager,PG,Psychology,Psychology,Did not do PHD,465934,0,C,3,1,0,557257
22317,9,7,Healthcare,Analyst,Aviation,I,Consultant,Doctorate,Statistics,Statistics,Statistics,1651701,0,D,4,0,0,2051412
22318,2,0,Sales,Project Manager,BFSI,P,Marketing Manager,PG,Economics,Economics,Did not do PHD,624872,0,C,3,0,0,735849
22320,16,2,Analytics/BI,Senior Researcher,Retail,H,Marketing Manager,Doctorate,Psychology,Psychology,Psychology,3041343,1,Key_Performer,5,0,0,4257880
22321,7,2,Healthcare,Consultant,Retail,I,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,796470,1,D,5,3,0,952578
22322,13,13,IT-Software,Head,Aviation,L,Web Designer,Grad,Engineering,Engineering,Did not do PHD,1867444,1,Key_Performer,6,2,0,2390328
22323,23,0,Banking,Senior Researcher,Aviation,P,Research Scientist,Grad,Psychology,Psychology,Did not do PHD,2413730,0,B,3,0,0,3017162
22324,2,1,Analytics/BI,Data scientist,Retail,O,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,408646,1,B,3,3,0,531239
22325,18,10,Sales,Bio statistician,Telecom,P,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2651831,1,A,3,4,0,3447380
22326,14,2,Education,Business Analyst,FMCG,C,Marketing Manager,Grad,Statistics,Statistics,Did not do PHD,2001976,0,D,5,0,0,2302272
22327,7,2,HR,Team Lead,Insurance,D,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1051066,1,Key_Performer,3,2,0,1421041
22329,1,0,Healthcare,Scientist,FMCG,K,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,459044,0,B,3,3,0,573805
22330,3,0,Analytics/BI,Analyst,Aviation,G,Sr.Manager,PG,Psychology,Psychology,Did not do PHD,619422,0,C,3,0,0,740828
22332,13,12,HR,Business Analyst,Telecom,B,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1346903,0,A,5,3,0,1683628
22333,16,12,Accounts,Consultant,Telecom,P,Web Designer,Doctorate,Others,Sociology,Psychology,2959290,1,D,6,0,0,3811565
22334,18,4,Healthcare,CEO,BFSI,D,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2650466,0,B,5,1,0,3313082
22336,15,6,Education,Team Lead,Others,P,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1473229,0,B,5,0,0,1841536
22337,25,16,Analytics/BI,Head,Training,M,Others,Grad,Zoology,Did not do PG,Did not do PHD,2599094,0,C,5,0,1,2988958
22338,9,2,Banking,Analyst,Retail,P,Consultant,PG,Engineering,Others,Did not do PHD,1029735,1,C,3,1,0,1250510
22339,6,5,Education,Analyst,Analytics,H,Consultant,Doctorate,Botony,Botony,Botony,1884647,0,C,5,0,0,2340731
22340,7,2,Accounts,Analyst,Training,P,Marketing Manager,Doctorate,Engineering,Engineering,Engineering,1875525,0,A,4,0,0,2633237
22341,20,4,Healthcare,Bio statistician,Insurance,N,Marketing Manager,Doctorate,Zoology,Zoology,Zoology,2612109,0,B,4,0,0,3526347
22342,14,0,Healthcare,Consultant,Others,G,Consultant,Doctorate,Botony,Botony,Botony,1718227,0,D,3,0,0,2134037
22343,18,5,Others,Analyst,Others,F,HR,PG,Arts,Arts,Did not do PHD,3187234,0,C,5,0,0,3811931
22344,4,3,Education,Sales Manager,FMCG,P,Product Manager,PG,Botony,Botony,Did not do PHD,517810,0,D,5,0,0,619300
22345,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Sociology,Sociology,Did not do PHD,0,0,Fresher,0,0,0,322272
22346,11,4,Education,Others,FMCG,A,Product Manager,Doctorate,Chemistry,Others,Botony,2003909,0,B,4,0,0,2705277
22347,6,4,Analytics/BI,Project Manager,Insurance,J,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,527459,0,A,6,0,0,685696
22348,7,1,Marketing,Financial Analyst,Telecom,J,Data Analyst,Grad,Sociology,Did not do PG,Did not do PHD,988849,0,Key_Performer,2,4,0,1285503
22349,2,2,Healthcare,Team Lead,Automobile,J,Data Analyst,PG,Psychology,Psychology,Did not do PHD,649394,0,D,2,0,0,776675
22350,1,1,Education,Consultant,Retail,K,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,433012,0,D,1,2,0,497963
22351,25,4,Analytics/BI,Team Lead,Automobile,B,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2762980,0,B,3,1,0,3453725
22352,9,7,Others,Others,Aviation,P,Medical Officer,PG,Botony,Others,Did not do PHD,990145,0,A,2,1,0,1287188
22353,15,3,HR,Financial Analyst,Aviation,O,Others,PG,Others,Mathematics,Did not do PHD,2231571,0,C,6,0,0,2668958
22354,8,7,Sales,Principal Analyst,Retail,N,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,939232,1,C,2,2,0,1123321
22355,17,9,Top Management,Others,Training,P,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1685867,1,Key_Performer,4,3,0,2191627
22356,7,7,Healthcare,Consultant,Others,N,Marketing Manager,Doctorate,Arts,Arts,Arts,1532629,0,A,2,0,0,2151811
22357,24,10,Analytics/BI,Project Manager,FMCG,L,Sr.Manager,Grad,Arts,Arts,Did not do PHD,2415630,0,A,5,0,0,3019537
22358,18,17,Banking,Team Lead,FMCG,C,Research Analyst,Grad,Botony,Botony,Did not do PHD,2474615,0,D,2,1,0,2845807
22359,6,5,IT-Software,Associate,Training,D,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,749235,0,D,6,3,0,861620
22360,3,1,Accounts,Associate,Insurance,A,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,529522,0,C,2,0,0,608950
22361,2,0,HR,Analyst,BFSI,C,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,451394,0,D,1,3,0,519103
22362,8,5,Healthcare,Senior Researcher,Automobile,H,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1094874,0,B,6,3,0,1368592
22364,6,5,Education,Project Manager,Automobile,H,Sr.Manager,PG,Botony,Botony,Did not do PHD,1174038,0,A,1,1,0,1587299
22365,18,1,Engineering,CEO,Analytics,B,Sr.Manager,Grad,Botony,Botony,Did not do PHD,2597888,0,Key_Performer,2,0,0,3247360
22366,8,0,IT-Software,Sales Execituve,BFSI,P,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,845280,1,B,1,3,0,1098864
22367,16,3,Sales,Business Analyst,FMCG,O,Research Scientist,Doctorate,Botony,Botony,Others,2472649,0,A,5,0,0,3338076
22368,9,3,Sales,Consultant,Others,D,Manager,Doctorate,Zoology,Zoology,Zoology,2035792,0,A,1,0,0,2748319
22369,7,2,Education,Sales Manager,Analytics,I,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,599319,1,Key_Performer,3,3,0,810279
22370,16,10,Top Management,Consultant,Analytics,L,Director,PG,Engineering,Engineering,Did not do PHD,2814304,0,B,6,0,0,3658595
22371,21,10,Healthcare,Analyst,IT,D,Others,PG,Zoology,Zoology,Did not do PHD,2939177,0,D,3,0,0,3515255
22372,13,9,Analytics/BI,Consultant,Analytics,H,Director,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1350186,0,D,3,2,0,1552713
22373,24,18,Education,Project Manager,Training,M,Data Analyst,Grad,Psychology,Psychology,Did not do PHD,2317457,0,B,2,1,0,2896821
22374,1,0,Healthcare,Business Analyst,IT,L,Manager,PG,Others,Economics,Did not do PHD,400295,1,D,2,1,0,497166
22375,20,15,Top Management,Senior Analyst,BFSI,H,Data Analyst,PG,Zoology,Zoology,Did not do PHD,3972355,0,Key_Performer,5,1,0,5164061
22376,1,0,Healthcare,Analyst,BFSI,G,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,422648,0,D,2,1,0,486045
22377,21,13,Others,CEO,Analytics,G,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2411072,1,Key_Performer,4,3,1,3134393
22378,6,1,Sales,Financial Analyst,BFSI,B,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,753260,0,D,5,5,0,866249
22379,17,10,Healthcare,Financial Analyst,IT,A,Marketing Manager,Doctorate,Statistics,Statistics,Statistics,3999693,1,Key_Performer,2,0,0,5599570
22381,6,4,Others,Business Analyst,Telecom,E,Product Manager,PG,Psychology,Psychology,Did not do PHD,967600,0,C,3,0,0,1157249
22382,9,1,Others,Project Manager,Telecom,G,Others,Grad,Arts,Arts,Did not do PHD,972954,0,C,3,0,0,1118897
22383,15,11,Engineering,Financial Analyst,Insurance,B,Research Analyst,Doctorate,Mathematics,Mathematics,Others,1661432,0,B,4,0,0,2242933
